nr,id,name,death,region,organization,role,birth
1,la12,Aubrac,2007,2,combat,Organisatorin,1912
2,mmf89,Fourcade,1989,1,ReseauAlliance,Spionageleitung,1909
3,gt07,Tillion,2008,1,MuseelHomme,Mitbegründerin,1907
4,gga20,GaulleAnthonioz,2002,1,combat,Kurierin,1920
5,dc09,Casanova,1943,1,PCF,Mitbegründerin,1909
6,mcvc12,VailliantCoturier,1996,1,FrontNational,journalistin,1912
7,ba93,Albrecht,1943,2,combat,Mitbegründerin,1893
8,ss05,Spaak,1944,1,RoteKapelle,Ressourcen,1905
9,fbs13,BlochSerazin,1943,1,FTP,Chemikerin,1913
10,cc15,Chomat,1945,1,PCF,Mitglied,1915
